session,status,source,destination,duplicate_of,note
19,move,assets/world-anvil/screenshots/Session 19/Session 19-06.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-06.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-07.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-07.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-08.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-08.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-09.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-09.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-10.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-10.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-11.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-11.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-12.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-12.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-14.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-14.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-15.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-15.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-16.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-16.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-01.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-01.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-02.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-02.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-03.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-03.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-04.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-04.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-05.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-05.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-06.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-06.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-07.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-07.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-09.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-09.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-10.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-10.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-11.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-11.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-12.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-12.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-13.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-13.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-14.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-14.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-15.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-15.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-16.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-16.png,,
20,move,assets/world-anvil/screenshots/Session 20/Session 20-17.png,assets/world-anvil/screenshots/Session 20 - The Beast/Session 20-17.png,,
21,move,assets/world-anvil/screenshots/Session 21/Session 21-01.png,assets/world-anvil/screenshots/Session 21 - Rebuilding/Session 21-01.png,,
21,move,assets/world-anvil/screenshots/Session 21/Session 21-02.png,assets/world-anvil/screenshots/Session 21 - Rebuilding/Session 21-02.png,,
21,move,assets/world-anvil/screenshots/Session 21/Session 21-03.png,assets/world-anvil/screenshots/Session 21 - Rebuilding/Session 21-03.png,,
21,move,assets/world-anvil/screenshots/Session 21/Session 21-04.png,assets/world-anvil/screenshots/Session 21 - Rebuilding/Session 21-04.png,,
21,move,assets/world-anvil/screenshots/Session 21/Session 21-05.png,assets/world-anvil/screenshots/Session 21 - Rebuilding/Session 21-05.png,,
21,move,assets/world-anvil/screenshots/Session 21/Session 21-06.png,assets/world-anvil/screenshots/Session 21 - Rebuilding/Session 21-06.png,,
21,move,assets/world-anvil/screenshots/Session 21/Session 21-07.png,assets/world-anvil/screenshots/Session 21 - Rebuilding/Session 21-07.png,,
21,move,assets/world-anvil/screenshots/Session 21/Session 21-08.png,assets/world-anvil/screenshots/Session 21 - Rebuilding/Session 21-08.png,,
21,move,assets/world-anvil/screenshots/Session 21/Session 21-09.png,assets/world-anvil/screenshots/Session 21 - Rebuilding/Session 21-09.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-01.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-01.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-02.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-02.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-03.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-03.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-04.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-04.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-05.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-05.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-06.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-06.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-07.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-07.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-08.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-08.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-09.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-09.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-10.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-10.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-11.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-11.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-12.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-12.png,,
22,move,assets/world-anvil/screenshots/Session 22/Session 22-13.png,assets/world-anvil/screenshots/Session 22 - The Mystery of the Missing Money/Session 22-13.png,,
23,move,assets/world-anvil/screenshots/Session 23/Session 23-01.png,assets/world-anvil/screenshots/Session 23 - Growth/Session 23-01.png,,
23,move,assets/world-anvil/screenshots/Session 23/Session 23-02.png,assets/world-anvil/screenshots/Session 23 - Growth/Session 23-02.png,,
