status,session,source,destination,duplicate_of,sha256,note
move,Session 12,assets/world-anvil/screenshots-originals/Session 12/Session 12-05.webp,assets/world-anvil/screenshots/Session 12/Session 12-05.webp,,235aae282e732ada72e05c356e05c8c93fbf943fba77b30839a7965170bc2b66,
move,Session 12,assets/world-anvil/screenshots-originals/Session 12/Session 12-06.webp,assets/world-anvil/screenshots/Session 12/Session 12-06.webp,,55a037bad0c1420a7427108b86b32a51d1e2b211e3700e3cb9e58854bf61d3a3,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-01.webp,assets/world-anvil/screenshots/Session 13/Session 13-01.webp,,b53e54dd33625f2882a76c38e334525b1f3bf7a2d7b9d292c3a3d75018b16f5d,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-02.webp,assets/world-anvil/screenshots/Session 13/Session 13-02.webp,,fd0a4cdefca8531e46d851f07dca9463d16797d86b1c2bce7fa47ae376c97348,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-03.webp,assets/world-anvil/screenshots/Session 13/Session 13-03.webp,,116fc105d28491b746cab7a0bb7fc339e33383f10084780c3cf4f4e20ca2649f,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-04.webp,assets/world-anvil/screenshots/Session 13/Session 13-04.webp,,e1771df750b5c0ea41f0a72a826563c45de2a1dc161bc148b06759043fb8ba09,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-05.webp,assets/world-anvil/screenshots/Session 13/Session 13-05.webp,,b111dbfd5439370b9aa757a536b5c65f556ce32cd0d4def2b5decf55604f656d,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-06.webp,assets/world-anvil/screenshots/Session 13/Session 13-06.webp,,e99a0f386c35aaa23cf76a45b31fb43db0825c0360fc7d0d398ae958883d25f6,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-07.webp,assets/world-anvil/screenshots/Session 13/Session 13-07.webp,,3bfbe0159e2d67c93e4a0b11bff3200d85db083f36fc6d744d592153a8f8c625,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-08.webp,assets/world-anvil/screenshots/Session 13/Session 13-08.webp,,31c5981c82e0433cb096d07c482c83115e67f639a98d76588547772e9e3bb43d,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-09.webp,assets/world-anvil/screenshots/Session 13/Session 13-09.webp,,9ea77f914b3f300a12139b7c8b8f987febc23fe4d511e6e48478f955041af1ac,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-10.webp,assets/world-anvil/screenshots/Session 13/Session 13-10.webp,,4efc3d5b598b5c314854e180db35335fbb9a5655f50d255fb985c99ecd52da7c,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-11.webp,assets/world-anvil/screenshots/Session 13/Session 13-11.webp,,680066d36518922b8b2e17b2640f55569658bc5def858de909f16482e02835a0,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-12.webp,assets/world-anvil/screenshots/Session 13/Session 13-12.webp,,9a77a1184a783764fe09a78367461a89a0f4e2213e0055ff3dea00dca9c5460e,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-13.webp,assets/world-anvil/screenshots/Session 13/Session 13-13.webp,,d77fc8355a1ed0edc566f7bdb25a508f85e0570d5c9b0c5a5d7ae512aa189534,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-14.webp,assets/world-anvil/screenshots/Session 13/Session 13-14.webp,,a106bf9a7540edebb7a4db8fe0ea5f1df9b5d37ca94abbd6980d51b61c43de0f,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-15.webp,assets/world-anvil/screenshots/Session 13/Session 13-15.webp,,6ede8bac5d45bd239ad39c9b2358df3b4dc6146b5e693774d367f8a3ee24e4ee,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-16.webp,assets/world-anvil/screenshots/Session 13/Session 13-16.webp,,a3b95c88d4c615908db046ddfb0a4b65a83218a8600d5587fd7b7dfbd1067178,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-17.webp,assets/world-anvil/screenshots/Session 13/Session 13-17.webp,,8e1c91114656dbeb8b4822c41f81b6254de79ae91673463400ba7c633f29ded7,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-18.webp,assets/world-anvil/screenshots/Session 13/Session 13-18.webp,,549befdc44e4cf5bbbdc46bea029f4eae5b172cad4eee8dc688e17f8f99e690b,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-19.webp,assets/world-anvil/screenshots/Session 13/Session 13-19.webp,,a59017db4e6a906aacd0d0c5aeac0105ec5551c10be91e020fd4cdfbd36b7fc3,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-20.webp,assets/world-anvil/screenshots/Session 13/Session 13-20.webp,,6293ca43f88c919f01bfb235a266361872e278fdf674a9144e78cd793fccba3e,
