old_path,new_path,original_bytes,webp_bytes,saved_bytes,status,error
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-36.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-36.webp,8234377,314782,7919595,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-37.jpg,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-37.webp,1217232,155618,1061614,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-38.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-38.webp,2199905,188888,2011017,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-39.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-39.webp,2290487,203752,2086735,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-40.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-40.webp,2139275,166550,1972725,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-41.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-41.webp,2056903,146066,1910837,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-42.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-42.webp,3406674,332712,3073962,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/session-48-finishing-the-job-for-hannis-43.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/session-48-finishing-the-job-for-hannis-43.webp,3532803,319982,3212821,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/session-48-finishing-the-job-for-hannis-44.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/session-48-finishing-the-job-for-hannis-44.webp,4314674,562800,3751874,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/session-48-finishing-the-job-for-hannis-45.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/session-48-finishing-the-job-for-hannis-45.webp,3885102,577378,3307724,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/session-48-finishing-the-job-for-hannis-46.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/session-48-finishing-the-job-for-hannis-46.webp,4285009,560910,3724099,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/session-48-finishing-the-job-for-hannis-47.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/session-48-finishing-the-job-for-hannis-47.webp,4291903,563492,3728411,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-01.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-01.webp,7488476,234988,7253488,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-02.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-02.webp,8121060,330702,7790358,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-03.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-03.webp,7627899,265924,7361975,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-04.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-04.webp,8047379,301302,7746077,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-05.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-05.webp,8200870,317518,7883352,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-06.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-06.webp,7241982,231856,7010126,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-07.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-07.webp,7491690,266150,7225540,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-08.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-08.webp,7959225,380982,7578243,converted,
